isbn,title,authors,publishers,publish_date,number_of_pages,identifiers_goodreads,description,first_sentence,last_modified
9780060541897,Johnny and the dead,"[""Terry Pratchett"", ""Albert Vit\u00f3 i Godina""]","[""HarperCollins Publishers""]",2006,213.0,"[""34528"", ""64390""]",,,
9780060541903,Johnny and the Dead (Johnny Maxwell Trilogy),"[""Terry Pratchett"", ""Albert Vit\u00f3 i Godina""]","[""HarperTrophy""]","April 3, 2007",224.0,"[""34531""]",,,
9780060541910,Johnny and the bomb,"[""Terry Pratchett""]","[""HarperCollins Publishers""]",2007,245.0,"[""1345912"", ""64385""]",,,
9780060541927,Johnny and the bomb,"[""Terry Pratchett""]","[""HarperCollins Publishers""]",2007,245.0,"[""1345912"", ""64385""]",,,
9780060541934,Johnny and the Bomb,"[""Terry Pratchett""]","[""HarperTrophy""]",2008,256.0,"[""1345913""]",,,
9780060548551,,,,,,,,,
9780060566258,The Wee Free Men,"[""Terry Pratchett"", ""Paul Kidby""]","[""HarperChildren's Audio""]","September 30, 2003",,"[""2792178""]",,,
9780060569969,Monstrous Regiment,"[""Terry Pratchett""]","[""HarperAudio""]","September 30, 2003",,"[""1345914""]",,,
9780060578152,Monstrous Regiment,"[""Terry Pratchett""]","[""HarperCollins Publishers""]",2003,,,,,
9780060586607,A Hat Full of Sky,"[""Terry Pratchett""]","[""HarperCollins""]",2004,278.0,"[""596878"", ""934161""]",,,
9780060586614,A Hat Full of Sky,"[""Terry Pratchett""]","[""HarperCollins Publishers""]",2004,278.0,"[""934161"", ""596878""]",,,
9780060586621,A Hat Full of Sky,"[""Terry Pratchett""]","[""HarperTrophy""]",2005,407.0,"[""618145""]",,,
9780060597726,A Hat Full of Sky,"[""Terry Pratchett""]",,,,,,,
9780060740887,Going Postal (Discworld),"[""Terry Pratchett""]","[""HarperAudio""]","September 28, 2004",,"[""533625""]",,,
9780060740993,,,,,,,,,
9780060743734,Monstrous Regiment,"[""Terry Pratchett""]","[""HarperAudio""]",,,"[""2068054""]",,,
9780060758271,The Art of Discworld,"[""Terry Pratchett"", ""Paul Kidby""]","[""HarperCollins""]","November 2, 2004",128.0,"[""325355""]",,,
9780060785987,The Wee Free Men A Story Of Discworld,"[""Terry Pratchett"", ""Paul Kidby""]","[""Harper Children's Audio""]",2005,,,,,
9780060798826,,,,,,,,,
9780060815226,Thud!,"[""Terry Pratchett""]","[""HarperCollins Publishers""]",2005,373.0,"[""513533""]",,,
9780060815318,Thud!,"[""Terry Pratchett""]","[""HarperTorch""]","August 29, 2006",398.0,"[""386375""]",,,
9780060823450,Thud!,"[""Terry Pratchett""]","[""HarperAudio""]",2005-09-13,,"[""1514579""]",,,
9780002246217,Gold,"[""Isaac Asimov""]","[""HarperCollins""]",1995,345.0,"[""1286803""]",,,
9780002550048,Asimov's chronology of the world,"[""Isaac Asimov""]","[""HarperCollins""]",1991,674.0,"[""2454977""]",,,
9780003701692,The Complete Robot,"[""Isaac Asimov"", ""Lewis Jones""]","[""Pearson English Language Teaching""]","November 3, 1986",48.0,"[""545003""]",,,
9780006476474,"The Complete Stories, Volume 1","[""Isaac Asimov""]","[""HarperCollins""]",1994,612.0,"[""824194""]",,,
9780006480167,The complete stories 2,"[""Isaac Asimov""]","[""HarperCollins""]",1995,464.0,"[""85450""]",,,
9780006482024,,,,,,,,,
9780007115877,Foundation,"[""Isaac Asimov""]","[""Voyager""]","Jun 18, 2001",240.0,,,,
9780007119639,"I, Robot","[""Isaac Asimov""]","[""Harper Collins""]","Nov 21, 2001",256.0,,,,
9780007270415,The Robots Of Dawn,"[""Isaac Asimov""]","[""Harper Collins UK""]","May 05, 2008",,,,,
9780007270439,Foundation And Earth,"[""Isaac Asimov""]","[""MLBD""]","May 05, 2008",,,,,
9780007270446,Foundation And Empire,"[""Isaac Asimov""]","[""Harper Collins UK""]","May 05, 1968",,,,,
9780007270460,Gold,"[""Isaac Asimov""]","[""Harper Collins UK""]","May 05, 2008",,,,,
9780007270491,Prelude to Foundation,"[""Isaac Asimov""]","[""HarperCollins Publishers""]",1996,,,,,
9780007270521,The End Of Eternity,"[""Isaac Asimov""]","[""Harper Collins UK""]",1971,,,,,
9780007270538,The Naked Sun,"[""Isaac Asimov""]","[""MLBD""]","May 05, 2008",,,,,
9780007270545,The Rest Of The Robots,"[""Isaac Asimov""]","[""Harper Collins.India""]",1997,,,,,
9780007361595,The Complete Robot,"[""Isaac Asimov""]","[""Harper Collins UK""]","May 05, 2010",,,,,
9780007376032,Gold,"[""Isaac Asimov""]","[""Voyager""]",2010,,,,,
9780007491513,I Robot,"[""Isaac Asimov""]","[""Harper Collins Publishers""]","May 05, 2013",,,,,
9780007532278,"I, Robot","[""Isaac Asimov""]","[""Harper Voyager""]",2013,245.0,,,,
9780007719518,"I, Robot","[""Isaac Asimov""]","[""HarperCollins""]",1996-01-01,,,,,
9780007777709,The caves of Steel and The Rest of the Robots,"[""Isaac Asimov""]","[""Grafton""]",,,,,,
9780007933563,Foundation and Empire,"[""Isaac Asimov""]","[""Harper Voyager""]",2013,,,,,
9780007933570,Second Foundation,"[""Isaac Asimov""]","[""Harper. 1 Paperback(s)""]","May 05, 2013",,,,,
9780008117481,,,,,,,,,
9780008117498,Foundation,"[""Isaac Asimov""]","[""HARPER COLLINS""]",2016,240.0,,,,
